Year Code;Age;Total
2;0;30007095
7;0;31612895
12;0;33476685
17;0;35151725
22;0;36991980
2;1;334665
7;1;335450
12;1;375610
17;1;372615
22;1;355385
2;2;336345
7;2;340600
12;2;379645
17;2;378880
22;2;365325
2;3;346415
7;3;336890
12;3;381035
17;3;386200
22;3;377030
2;4;361410
7;4;339800
12;4;372885
17;4;391365
22;4;390320
2;5;379980
12;5;364745
17;5;394530
22;5;402105
2;6;388155
7;6;356925
12;6;360235
17;6;406000
22;6;407065
2;7;391975
7;7;358495
12;7;364415
17;7;409045
22;7;409845
2;8;402275
7;8;367575
12;8;358480
17;8;409835
22;8;417195
2;9;413755
7;9;382105
12;9;362015
17;9;398720
22;9;418695
2;10;420360
7;10;399745
12;10;366615
17;10;389160
22;10;420750
2;11;422395
7;11;410580
12;11;378715
17;11;383875
22;11;429220
2;12;407220
7;12;413660
12;12;379685
17;12;387115
22;12;431365
2;13;398295
7;13;423340
12;13;391430
17;13;379935
22;13;429160
2;14;404850
7;14;432600
12;14;403905
17;14;382570
22;14;416205
2;15;413820
7;15;442180
12;15;423755
17;15;388205
22;15;406580
2;16;414825
7;16;443675
12;16;432490
17;16;401310
22;16;402330
2;17;411965
7;17;427590
12;17;434060
17;17;400230
22;17;403145
2;18;407400
7;18;411225
12;18;439705
17;18;410695
22;18;395810
2;19;405320
7;19;415825
12;19;448130
17;19;425710
22;19;405110
2;20;407205
7;20;421345
12;20;453970
17;20;441415
22;20;423735
2;21;400595
7;21;423325
12;21;453295
17;21;446895
22;21;438385
2;22;388605
7;22;417055
12;22;433985
17;22;444890
22;22;435015
2;23;379060
7;23;410955
12;23;421705
17;23;451225
22;23;446860
2;24;380350
7;24;407700
12;24;424485
17;24;458275
22;24;458270
2;25;378115
7;25;408550
12;25;433015
17;25;466390
22;25;474640
2;26;378715
7;26;400730
12;26;434630
17;26;468045
22;26;479310
2;27;370560
7;27;392055
12;27;433160
17;27;453435
22;27;479085
2;28;379375
7;28;389495
12;28;434675
17;28;445990
22;28;489695
2;29;391435
7;29;394745
12;29;434100
17;29;452125
22;29;498775
2;30;414365
7;30;398940
12;30;442375
17;30;464495
22;30;514560
2;31;416465
7;31;403235
12;31;436345
17;31;465685
22;31;516355
2;32;415275
7;32;396795
12;32;428905
17;32;467055
22;32;500840
2;33;419070
7;33;405525
12;33;425540
17;33;465970
22;33;491455
2;34;431570
7;34;415735
12;34;429740
17;34;466185
22;34;495625
2;35;461405
7;35;437985
12;35;433270
17;35;468365
22;35;504595
2;36;499855
7;36;440020
12;36;436310
17;36;464320
22;36;506800
2;37;517405
7;37;438475
12;37;427640
17;37;454790
22;37;502415
2;38;525550
7;38;440030
12;38;433385
17;38;449655
22;38;500840
2;39;518635
7;39;451755
12;39;443335
17;39;451230
22;39;496700
2;40;528755
7;40;481510
12;40;468655
17;40;453015
22;40;498020
2;41;522755
7;41;520540
12;41;463385
17;41;453240
22;41;489505
2;42;513260
7;42;536530
12;42;462825
17;42;444865
22;42;477125
2;43;511645
7;43;541040
12;43;460815
17;43;447400
22;43;468215
2;44;502350
7;44;530835
12;44;469200
17;44;456615
22;44;466535
2;45;488170
7;45;539620
12;45;498965
17;45;476125
22;45;465380
2;46;488120
7;46;531600
12;46;534795
17;46;473875
22;46;466590
2;47;470295
7;47;521165
12;47;548330
17;47;468970
22;47;453990
2;48;450630
7;48;517935
12;48;552245
17;48;466875
22;48;454665
2;49;436315
7;49;510280
12;49;540800
17;49;474120
22;49;463540
2;50;429590
7;50;495755
12;50;552115
17;50;502935
22;50;483615
2;51;419410
7;51;494480
12;51;540085
17;51;536300
22;51;476265
2;52;412460
7;52;475505
12;52;529620
17;52;549525
22;52;471040
2;53;413265
7;53;454565
12;53;524980
17;53;551800
22;53;466395
2;54;411040
7;54;437000
12;54;512165
17;54;537515
22;54;471030
2;55;345560
7;55;430785
12;55;497235
17;55;544020
22;55;498240
2;56;328200
7;56;420615
12;56;492430
17;56;534060
22;56;532250
2;57;321265
7;57;411525
12;57;470490
17;57;522180
22;57;541810
2;58;311100
7;58;410875
12;58;448600
17;58;516785
22;58;545045
2;59;288115
7;59;410825
12;59;431875
17;59;503200
22;59;529990
2;60;278260
7;60;345035
12;60;424655
17;60;488500
22;60;536720
2;61;260600
7;61;329415
12;61;414310
17;61;481815
22;61;525440
2;62;254815
7;62;321575
12;62;405735
17;62;460355
22;62;511115
2;63;244865
7;63;307900
12;63;405580
17;63;438470
22;63;506135
2;64;235235
7;64;285940
12;64;402395
17;64;421375
22;64;492175
2;65;236275
7;65;274915
12;65;335780
17;65;411715
22;65;475600
2;66;228185
7;66;254180
12;66;316505
17;66;399985
22;66;467500
2;67;221595
7;67;246075
12;67;307225
17;67;390335
22;67;444575
2;68;225000
7;68;234685
12;68;292665
17;68;388055
22;68;421170
2;69;222565
7;69;224710
12;69;269540
17;69;382385
22;69;402125
2;70;218830
7;70;223010
12;70;258105
17;70;316830
22;70;390605
2;71;210805
7;71;215595
12;71;239665
17;71;297530
22;71;377815
2;72;198670
7;72;206985
12;72;230490
17;72;287500
22;72;365955
2;73;195495
7;73;206585
12;73;218565
17;73;271495
22;73;360985
2;74;185410
7;74;201615
12;74;206240
17;74;247515
22;74;352220
2;75;181050
7;75;195940
12;75;201600
17;75;234020
22;75;288270
2;76;171480
7;76;186375
12;76;190835
17;76;215130
22;76;267955
2;77;162765
7;77;173785
12;77;180905
17;77;204155
22;77;254770
2;78;152590
7;78;167130
12;78;178215
17;78;191075
22;78;237185
2;79;145785
7;79;156350
12;79;171140
17;79;177470
22;79;212755
2;80;132720
7;80;149780
12;80;164215
17;80;171185
22;80;200620
2;81;119185
7;81;140845
12;81;152350
17;81;158110
22;81;181065
2;82;97100
7;82;129565
12;82;138470
17;82;147295
22;82;167350
2;83;87610
7;83;117775
12;83;129865
17;83;141415
22;83;153385
2;84;79515
7;84;108745
12;84;117165
17;84;131645
22;84;138120
2;85;72355
7;85;96250
12;85;107535
17;85;121575
22;85;129070
2;86;66580
7;86;82340
12;86;96205
17;86;108495
22;86;114925
2;87;56640
7;87;63310
12;87;85015
17;87;94410
22;87;102775
2;88;47575
7;88;54115
12;88;73760
17;88;85150
22;88;94530
2;89;38640
7;89;46675
12;89;64505
17;89;72890
22;89;84145
2;90;31820
7;90;39850
12;90;53765
17;90;63485
22;90;73795
2;91;25630
7;91;34935
12;91;42950
17;91;52875
22;91;60655
2;92;19975
7;92;27355
12;92;30585
17;92;43715
22;92;49555
2;93;15790
7;93;21135
12;93;24055
17;93;35005
22;93;41230
2;94;11885
7;94;15835
12;94;18925
17;94;28425
22;94;32805
2;95;8835
7;95;11855
12;95;14575
17;95;20980
22;95;25445
2;96;6290
7;96;8735
12;96;11085
17;96;14855
22;96;16325
2;97;4735
7;97;6200
12;97;7700
17;97;9485
22;97;12120
2;98;3200
7;98;4475
12;98;5375
17;98;6705
22;98;8550
2;99;2165
7;99;2930
12;99;3650
17;99;4495
22;99;5940
2;100;3795
7;100;4635
12;100;5820
