Year Code;Age;Total
2;0;30007095
2;1;334665
2;2;336345
2;3;346415
2;4;361410
2;5;379980
2;6;388155
2;7;391975
2;8;402275
2;9;413755
2;10;420360
2;11;422395
2;12;407220
2;13;398295
2;14;404850
2;15;413820
2;16;414825
2;17;411965
2;18;407400
2;19;405320
2;20;407205
2;21;400595
2;22;388605
2;23;379060
2;24;380350
2;25;378115
2;26;378715
2;27;370560
2;28;379375
2;29;391435
2;30;414365
2;31;416465
2;32;415275
2;33;419070
2;34;431570
2;35;461405
2;36;499855
2;37;517405
2;38;525550
2;39;518635
2;40;528755
2;41;522755
2;42;513260
2;43;511645
2;44;502350
2;45;488170
2;46;488120
2;47;470295
2;48;450630
2;49;436315
2;50;429590
2;51;419410
2;52;412460
2;53;413265
2;54;411040
2;55;345560
2;56;328200
2;57;321265
2;58;311100
2;59;288115
2;60;278260
2;61;260600
2;62;254815
2;63;244865
2;64;235235
2;65;236275
2;66;228185
2;67;221595
2;68;225000
2;69;222565
2;70;218830
2;71;210805
2;72;198670
2;73;195495
2;74;185410
2;75;181050
2;76;171480
2;77;162765
2;78;152590
2;79;145785
2;80;132720
2;81;119185
2;82;97100
2;83;87610
2;84;79515
2;85;72355
2;86;66580
2;87;56640
2;88;47575
2;89;38640
2;90;31820
2;91;25630
2;92;19975
2;93;15790
2;94;11885
2;95;8835
2;96;6290
2;97;4735
2;98;3200
2;99;2165
2;100;3795
7;0;31612895
7;1;335450
7;2;340600
7;3;336890
7;4;339800
7;6;356925
7;7;358495
7;8;367575
7;9;382105
7;10;399745
7;11;410580
7;12;413660
7;13;423340
7;14;432600
7;15;442180
7;16;443675
7;17;427590
7;18;411225
7;19;415825
7;20;421345
7;21;423325
7;22;417055
7;23;410955
7;24;407700
7;25;408550
7;26;400730
7;27;392055
7;28;389495
7;29;394745
7;30;398940
7;31;403235
7;32;396795
7;33;405525
7;34;415735
7;35;437985
7;36;440020
7;37;438475
7;38;440030
7;39;451755
7;40;481510
7;41;520540
7;42;536530
7;43;541040
7;44;530835
7;45;539620
7;46;531600
7;47;521165
7;48;517935
7;49;510280
7;50;495755
7;51;494480
7;52;475505
7;53;454565
7;54;437000
7;55;430785
7;56;420615
7;57;411525
7;58;410875
7;59;410825
7;60;345035
7;61;329415
7;62;321575
7;63;307900
7;64;285940
7;65;274915
7;66;254180
7;67;246075
7;68;234685
7;69;224710
7;70;223010
7;71;215595
7;72;206985
7;73;206585
7;74;201615
7;75;195940
7;76;186375
7;77;173785
7;78;167130
7;79;156350
7;80;149780
7;81;140845
7;82;129565
7;83;117775
7;84;108745
7;85;96250
7;86;82340
7;87;63310
7;88;54115
7;89;46675
7;90;39850
7;91;34935
7;92;27355
7;93;21135
7;94;15835
7;95;11855
7;96;8735
7;97;6200
7;98;4475
7;99;2930
7;100;4635
12;0;33476685
12;1;375610
12;2;379645
12;3;381035
12;4;372885
12;5;364745
12;6;360235
12;7;364415
12;8;358480
12;9;362015
12;10;366615
12;11;378715
12;12;379685
12;13;391430
12;14;403905
12;15;423755
12;16;432490
12;17;434060
12;18;439705
12;19;448130
12;20;453970
12;21;453295
12;22;433985
12;23;421705
12;24;424485
12;25;433015
12;26;434630
12;27;433160
12;28;434675
12;29;434100
12;30;442375
12;31;436345
12;32;428905
12;33;425540
12;34;429740
12;35;433270
12;36;436310
12;37;427640
12;38;433385
12;39;443335
12;40;468655
12;41;463385
12;42;462825
12;43;460815
12;44;469200
12;45;498965
12;46;534795
12;47;548330
12;48;552245
12;49;540800
12;50;552115
12;51;540085
12;52;529620
12;53;524980
12;54;512165
12;55;497235
12;56;492430
12;57;470490
12;58;448600
12;59;431875
12;60;424655
12;61;414310
12;62;405735
12;63;405580
12;64;402395
12;65;335780
12;66;316505
12;67;307225
12;68;292665
12;69;269540
12;70;258105
12;71;239665
12;72;230490
12;73;218565
12;74;206240
12;75;201600
12;76;190835
12;77;180905
12;78;178215
12;79;171140
12;80;164215
12;81;152350
12;82;138470
12;83;129865
12;84;117165
12;85;107535
12;86;96205
12;87;85015
12;88;73760
12;89;64505
12;90;53765
12;91;42950
12;92;30585
12;93;24055
12;94;18925
12;95;14575
12;96;11085
12;97;7700
12;98;5375
12;99;3650
12;100;5820
17;0;35151725
17;1;372615
17;2;378880
17;3;386200
17;4;391365
17;5;394530
17;6;406000
17;7;409045
17;8;409835
17;9;398720
17;10;389160
17;11;383875
17;12;387115
17;13;379935
17;14;382570
17;15;388205
17;16;401310
17;17;400230
17;18;410695
17;19;425710
17;20;441415
17;21;446895
17;22;444890
17;23;451225
17;24;458275
17;25;466390
17;26;468045
17;27;453435
17;28;445990
17;29;452125
17;30;464495
17;31;465685
17;32;467055
17;33;465970
17;34;466185
17;35;468365
17;36;464320
17;37;454790
17;38;449655
17;39;451230
17;40;453015
17;41;453240
17;42;444865
17;43;447400
17;44;456615
17;45;476125
17;46;473875
17;47;468970
17;48;466875
17;49;474120
17;50;502935
17;51;536300
17;52;549525
17;53;551800
17;54;537515
17;55;544020
17;56;534060
17;57;522180
17;58;516785
17;59;503200
17;60;488500
17;61;481815
17;62;460355
17;63;438470
17;64;421375
17;65;411715
17;66;399985
17;67;390335
17;68;388055
17;69;382385
17;70;316830
17;71;297530
17;72;287500
17;73;271495
17;74;247515
17;75;234020
17;76;215130
17;77;204155
17;78;191075
17;79;177470
17;80;171185
17;81;158110
17;82;147295
17;83;141415
17;84;131645
17;85;121575
17;86;108495
17;87;94410
17;88;85150
17;89;72890
17;90;63485
17;91;52875
17;92;43715
17;93;35005
17;94;28425
17;95;20980
17;96;14855
17;97;9485
17;98;6705
17;99;4495
22;0;36991980
22;1;355385
22;2;365325
22;3;377030
22;4;390320
22;5;402105
22;6;407065
22;7;409845
22;8;417195
22;9;418695
22;10;420750
22;11;429220
22;12;431365
22;13;429160
22;14;416205
22;15;406580
22;16;402330
22;17;403145
22;18;395810
22;19;405110
22;20;423735
22;21;438385
22;22;435015
22;23;446860
22;24;458270
22;25;474640
22;26;479310
22;27;479085
22;28;489695
22;29;498775
22;30;514560
22;31;516355
22;32;500840
22;33;491455
22;34;495625
22;35;504595
22;36;506800
22;37;502415
22;38;500840
22;39;496700
22;40;498020
22;41;489505
22;42;477125
22;43;468215
22;44;466535
22;45;465380
22;46;466590
22;47;453990
22;48;454665
22;49;463540
22;50;483615
22;51;476265
22;52;471040
22;53;466395
22;54;471030
22;55;498240
22;56;532250
22;57;541810
22;58;545045
22;59;529990
22;60;536720
22;61;525440
22;62;511115
22;63;506135
22;64;492175
22;65;475600
22;66;467500
22;67;444575
22;68;421170
22;69;402125
22;70;390605
22;71;377815
22;72;365955
22;73;360985
22;74;352220
22;75;288270
22;76;267955
22;77;254770
22;78;237185
22;79;212755
22;80;200620
22;81;181065
22;82;167350
22;83;153385
22;84;138120
22;85;129070
22;86;114925
22;87;102775
22;88;94530
22;89;84145
22;90;73795
22;91;60655
22;92;49555
22;93;41230
22;94;32805
22;95;25445
22;96;16325
22;97;12120
22;98;8550
22;99;5940
