"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","799295","","","","0"
"2021","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","952678","","","","0"
"2022","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","1151938","","","","0"
"2023","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","1217838","","","","0"
"2024","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","1266211","","","","0"
"2020","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","654469","","","","0"
"2021","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","790534","","","","0"
"2022","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","967699","","","","0"
"2023","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","978423","","","","0"
"2024","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","996784","","","","0"
"2020","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","522476","","","","0"
"2021","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","638576","","","","0"
"2022","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","783700","","","","0"
"2023","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","769941","","","","0"
"2024","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","778984","","","","0"
"2020","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","131993","","","","0"
"2021","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","151959","","","","0"
"2022","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","184000","","","","0"
"2023","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","208482","","","","0"
"2024","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","217800","","","","0"
"2020","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","132330","","","","0"
"2021","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","146627","","","","0"
"2022","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","166425","","","","0"
"2023","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","220711","","","","0"
"2024","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","248760","","","","0"
"2020","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1102","","","","0"
"2021","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1043","","","","0"
"2022","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1124","","","","0"
"2023","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1144","","","","0"
"2024","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1166","","","","0"
"2020","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","131228","","","","0"
"2021","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","145585","","","","0"
"2022","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","165302","","","","0"
"2023","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","219567","","","","0"
"2024","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","247594","","","","0"
"2020","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","76409","","","","0"
"2021","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","96627","","","","0"
"2022","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","100078","","","","0"
"2023","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","115673","","","","0"
"2024","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","127059","","","","0"
"2020","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","40786","","","","0"
"2021","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","42347","","","","0"
"2022","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","46448","","","","0"
"2023","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","53190","","","","0"
"2024","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","60668","","","","0"
"2020","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","14034","","","","0"
"2021","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","6610","","","","0"
"2022","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","18775","","","","0"
"2023","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","50704","","","","0"
"2024","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","59867","","","","0"
"2020","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","12495","","","","0"
"2021","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","15517","","","","0"
"2022","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","17813","","","","0"
"2023","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","18704","","","","0"
"2024","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","20667","","","","0"
"2020","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","4417","","","","0"
"2021","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","4460","","","","0"
